7263, 200
j : 1
j : 913
j : 6089
j : 6298
j : 8021
j : 4661
j : 7159
j : 5253
j : 2768
j : 4651
j : 4109
j : 5126
j : 8287
j : 3000
j : 1773
j : 1139
j : 3358
j : 8178
j : 7875
j : 1240
j : 5903
j : 6916
j : 3018
j : 2934
j : 6021
j : 8431
j : 2727
j : 7606
j : 5872
j : 9017
j : 6279
j : 4487
j : 2289
j : 6478
j : 7469
j : 3491
j : 1792
j : 754
j : 616
j : 3772
j : 7568
j : 2638
j : 4132
j : 2722
j : 543
j : 1269
j : 2045
j : 6919
j : 3366
j : 6756
j : 4250
j : 142
j : 575
j : 7823
j : 9902
j : 7002
j : 5258
j : 558
j : 1356
j : 7724
j : 172
j : 4160
j : 7694
j : 3976
j : 1079
j : 2526
j : 3599
j : 6785
j : 6969
j : 8720
j : 6817
j : 6509
j : 6305
j : 2069
j : 8768
j : 588
j : 3411
j : 1637
j : 3136
j : 1963
j : 8814
j : 8367
j : 4828
j : 8228
j : 1466
j : 7256
j : 8773
j : 9086
j : 5624
j : 7288
j : 5308
j : 2694
j : 6348
j : 5804
j : 114
j : 4918
j : 1213
j : 7826
j : 541
j : 8057
j : 3976
j : 6618
j : 9372
j : 3457
j : 5057
j : 6611
j : 8130
j : 7565
j : 5565
j : 6116
j : 4287
j : 8036
j : 8796
j : 4890
j : 4920
j : 4419
j : 7963
j : 4526
j : 4195
j : 303
j : 8223
j : 2270
j : 4249
j : 7016
j : 2918
j : 5777
j : 4336
j : 9920
j : 5877
j : 4074
j : 6593
j : 140
j : 9080
j : 5241
j : 8386
j : 6253
j : 9489
j : 6279
j : 4487
j : 9017
j : 8408
j : 7606
j : 2727
j : 8431
j : 6021
j : 3675
j : 2934
j : 3018
j : 6683
j : 8153
j : 9349
j : 8178
j : 3358
j : 1139
j : 9522
j : 1773
j : 3000
j : 8287
j : 2738
j : 4109
j : 4651
j : 2768
j : 5253
j : 4061
j : 8021
j : 4661
j : 1
j : 913
j : 6089
j : 6298
j : 8021
j : 4661
j : 7159
j : 5253
j : 2768
j : 4651
j : 5102
j : 805
j : 257
j : 9742
j : 4137
j : 4204
j : 4137
j : 9742
j : 257
j : 805
j : 5102
j : 4651
j : 2768
j : 5253
j : 7159
j : 4661
j : 8021
j : 6298
j : 6089
j : 913
j : 1
j : 8481
j : 4744
j : 5710
j : 7938
j : 897
j : 2084
j : 4863
j : 3594
j : 6651
j : 7861
j : 7913
j : 240
j : 4919
j : 4092
j : 6568
j : 429
j : 6145
j : 4394
j : 9357
j : 3708
j : 8520
j : 5389
j : 6766
j : 5274
j : 606
j : 1338
j : 7533
j : 3740
j : 5473
j : 9728
j : 427
j : 2303
j : 2042
j : 9825
j : 3915
j : 9100
j : 1389
j : 7521
j : 1744
j : 1301
j : 2299
j : 8827
j : 9468
j : 2392
j : 2304
j : 7558
j : 7178
j : 4904
j : 9880
j : 4165
j : 6929
j : 1682
j : 7373
j : 358
j : 8936
j : 5677
j : 8534
j : 8360
j : 1097
j : 7748
j : 6233
j : 8775
j : 824
j : 6863
j : 7168
j : 5602
j : 3559
j : 5046
j : 8827
j : 1301
j : 1744
j : 7521
j : 7423
j : 1258
j : 7688
j : 4774
j : 7064
j : 1360
j : 7680
j : 3694
j : 7202
j : 4407
j : 427
j : 9728
j : 5473
j : 3740
j : 7533
j : 1338
j : 606
j : 9637
j : 5274
j : 6470
j : 786
j : 4394
j : 6145
j : 93
j : 2836
j : 2971
j : 851
j : 2255
j : 927
j : 8662
j : 7861
j : 6651
j : 4863
j : 2084
j : 897
j : 5710
j : 8481
j : 913
j : 1
j : 4661
j : 8021
j : 4061
j : 5253
j : 2768
j : 4651
j : 4109
j : 2738
j : 8287
j : 3000
j : 1773
j : 9522
j : 1139
j : 3490
